object_id,fire_date,latitude,longitude,avg_temperature_2m_max,avg_temperature_2m_min,avg_temperature_2m_mean,avg_precipitation_sum,avg_snowfall_sum,avg_wind_speed_10m_max,avg_wind_gusts_10m_max,avg_relative_humidity_2m,avg_pressure_msl,avg_surface_pressure,avg_soil_temperature_0_to_7cm,avg_soil_moisture_0_to_7cm,Unnamed: 0
4452007,2006-07-21 18:00:00,34.5947227478027,-94.6291656494141,37.35,23.5,30.5,0.0,0.0,10.65,20.5,46.333333333333336,1015.04375,951.4,30.399999999999995,0.27525,1841.0
4452019,2006-07-31 19:00:00,34.8480567932129,-94.2788925170898,36.95,25.65,30.9,0.0,0.0,14.1,38.15,51.66666666666666,1013.3250000000002,985.10625,30.7875,0.2970833333333333,1842.0
4452020,2006-07-31 20:56:00,34.8641662597656,-93.1802749633789,35.2,24.85,29.55,0.05,0.0,13.4,32.4,59.75,1013.4541666666668,986.1083333333332,29.48125,0.3824375,1843.0
4452036,2006-08-11 00:30:00,34.8080558776855,-93.6094436645508,36.2,26.6,31.0,2.2,0.0,14.15,29.0,48.625,1011.9958333333334,978.4541666666668,31.33333333333333,0.2821875,1844.0
4452041,2006-08-13 18:25:00,34.4397239685059,-93.5138854980469,32.1,22.4,26.3,5.75,0.0,9.25,27.7,81.60416666666667,1013.0979166666666,973.5875,27.325,0.4489583333333333,1845.0
4452053,2006-08-21 13:30:00,34.341667175293,-94.6272201538086,36.1,25.95,30.4,1.15,0.0,11.8,28.8,57.85416666666666,1014.8354166666668,981.575,30.88125,0.2914374999999999,1846.0
4452082,2006-11-20 17:10:00,34.9494438171387,-94.4011077880859,9.7,0.0999999999999999,4.4,0.0,0.0,9.7,26.1,57.375,1029.86875,960.4020833333334,5.964583333333333,0.4587083333333333,1847.0
4452089,2006-12-10 23:00:00,34.7780570983887,-92.9502792358398,7.5,-1.9,1.25,0.0,0.0,11.45,27.75,50.8125,1030.775,980.075,1.9854166666666668,0.4429166666666666,1848.0
4452099,2006-01-07 22:11:00,35.6163902282715,-93.9844436645508,11.2,0.55,5.05,0.0,0.0,13.0,25.6,55.91666666666666,1021.1208333333334,985.625,6.224999999999999,0.3734374999999999,1849.0
4452100,2006-01-07 22:10:00,35.5855560302734,-93.9850006103516,11.45,0.8,5.3,0.0,0.0,13.0,25.6,55.97916666666666,1021.1208333333334,990.7208333333332,6.4750000000000005,0.3734374999999999,1850.0
4452113,2006-03-01 20:00:00,35.6694450378418,-94.2847213745117,24.05,9.45,15.15,0.0,0.0,16.7,40.85,69.3125,1010.6541666666668,960.0895833333334,12.747916666666669,0.4223333333333334,1851.0
4452114,2006-03-02 14:00:00,35.6836128234863,-94.3783340454102,24.9,11.9,16.85,0.2,0.0,19.05,45.0,56.75,1011.3937499999998,969.0979166666666,15.258333333333336,0.4097291666666667,1852.0
4452116,2006-03-03 12:30:00,35.656665802002,-93.8125,19.2,7.800000000000001,13.25,0.55,0.0,18.200000000000003,40.1,42.625,1019.8854166666666,972.675,13.358333333333334,0.4223333333333333,1853.0
4452119,2006-03-18 21:00:00,35.9891662597656,-92.3838882446289,14.05,4.45,8.8,0.55,0.0,14.95,34.55,58.020833333333336,1025.0979166666666,985.525,10.585416666666667,0.4325,1854.0
4452122,2006-01-02 16:30:00,35.5050010681152,-92.916389465332,15.9,7.35,10.75,1.9,0.0,21.55,49.85,79.0625,1005.1520833333334,955.0291666666666,10.39375,0.4167916666666666,1855.0
4452132,2006-04-04 19:45:00,35.6483345031738,-93.586669921875,19.95,8.65,13.85,0.0,0.0,15.85,36.75,52.3125,1019.9520833333332,962.0145833333336,14.679166666666667,0.4671458333333333,1856.0
4452136,2006-04-08 00:30:00,35.6986122131348,-93.0897216796875,21.450000000000003,11.3,15.6,3.2,0.0,22.3,60.1,65.875,1006.4479166666666,944.075,15.525,0.4688125,1857.0
4452137,2006-04-07 20:00:00,35.5875015258789,-93.1858367919922,23.75,14.85,18.45,3.7,0.0,21.45,55.45,78.54166666666667,1003.74375,966.81875,16.872916666666665,0.4741458333333333,1858.0
4452142,2006-04-14 16:00:00,35.6719436645508,-93.038330078125,28.200000000000003,16.2,21.9,0.0,0.0,16.75,42.85,64.5625,1017.6395833333332,972.4458333333332,20.57916666666667,0.3901874999999999,1859.0
